Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Other impacts,"{'Equipment Type': 'Single Car', 'Head End Locomotives': '0'}",0.2296618809451954,0.00271530085,0.31574141474769607,Equipment Type=Single Car(Score:0.0030); Head End Locomotives(Score:0.0024)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Engineers On Duty': '0.0'}",0.2296618809451954,0.00268399585,0.3147233983450958,Equipment Type=Single Car(Score:0.0030); Engineers On Duty(Score:0.0024)
A,Other impacts,"{'Hours Conductors On Duty': 'nan', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.00255559585,0.3105479213895336,Hours Conductors On Duty(Score:0.0021); Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Loaded Passenger Cars': '0'}",0.2296618809451954,0.0023764163,0.3047211294741675,Equipment Type=Single Car(Score:0.0030); Loaded Passenger Cars(Score:0.0018)
A,Other impacts,"{'Positive Drug Tests': 'nan', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.00220706945,0.2992140899907404,Positive Drug Tests(Score:0.0014); Equipment Type=Single Car(Score:0.0030)
A,Rear end collision,"{'First Car Position': '1.0', 'Equipment Type': 'Single Car'}",0.0665508637288388,0.00724637935,0.29852776862822983,First Car Position(Score:0.0115); Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Recorded Estimated Speed': 'Estimated', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.00217777275,0.2982613820801172,Recorded Estimated Speed=Estimated(Score:0.0014); Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Weather Condition': 'Clear'}",0.2296618809451954,0.0020761556,0.29495686441567087,Equipment Type=Single Car(Score:0.0030); Weather Condition=Clear(Score:0.0012)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Brakemen On Duty': '0.0'}",0.2296618809451954,0.00206902165,0.2947248734201324,Equipment Type=Single Car(Score:0.0030); Brakemen On Duty(Score:0.0011)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Positive Alcohol Tests': 'nan'}",0.2296618809451954,0.0020420331,0.293847224910872,Equipment Type=Single Car(Score:0.0030); Positive Alcohol Tests(Score:0.0011)
